Date,Open,High,Low,Close,Volume,Market Cap
"Dec 12, 2013",882.78,901.94,844.95,873.26,0,10578889955
"Dec 13, 2013",874.98,941.79,860.05,892.58,0,10816819988
"Dec 14, 2013",899.85,904.65,858.36,872.6,0,10578987915
"Dec 15, 2013",875.29,886.16,825,876.12,0,10625517651
"Dec 16, 2013",880.33,882.25,668.25,705.97,0,8565534010
"Dec 17, 2013",706.37,754.83,630.88,682.12,0,8279623719
"Dec 18, 2013",678.2,679.32,420.51,522.7,0,6347159168
"Dec 19, 2013",519.06,707.23,502.89,691.96,0,8406397153
"Dec 20, 2013",694.22,729.16,595.33,625.32,0,7599576492
"Dec 21, 2013",619.9,654.27,579.17,605.66,0,7363114611
"Dec 22, 2013",601.78,666.74,585.64,617.18,0,7505757423
"Dec 23, 2013",613.06,680.91,611.04,673.41,0,8192487202
"Dec 24, 2013",672.36,684.39,645.71,665.58,0,8100042042
"Dec 25, 2013",666.31,682.7,649.48,682.21,0,8305173374
"Dec 26, 2013",683.94,777.75,683.94,761.98,0,9279735331
"Dec 27, 2013",763.28,777.51,713.6,735.07,46862700,8955394564
"Dec 28, 2013",737.98,747.06,705.35,727.83,32505800,8869918644
"Dec 29, 2013",728.05,748.61,714.44,745.05,19011300,9082103621
"Dec 30, 2013",741.35,766.6,740.24,756.13,20707700,9217167990
"Dec 31, 2013",760.32,760.58,738.17,754.01,20897300,9191325349
"Jan 01, 2014",754.97,775.35,754.97,771.4,22489400,9403308145
"Jan 02, 2014",773.44,820.31,767.21,802.39,38489500,9781073921
"Jan 03, 2014",802.85,834.15,789.12,818.72,37810100,9980135396
"Jan 04, 2014",823.27,859.51,801.67,859.51,38005000,10477362437
"Jan 05, 2014",858.55,952.4,854.52,933.53,72898496,11379660685
"Jan 06, 2014",936.05,1017.12,905.71,953.29,85565696,11620533603
"Jan 07, 2014",946.49,965.74,802,802,81311696,9808299600
"Jan 08, 2014",795.99,870.68,776.18,842.72,74175600,10310363180
"Jan 09, 2014",841.47,864.36,804.14,846.86,59998600,10365397028
"Jan 10, 2014",846.69,871.19,822.6,868.48,31876800,10634081648
"Jan 11, 2014",867.32,921.48,861.72,913.95,44754200,11195636164
"Jan 12, 2014",919.6,928.52,851.17,863.22,39623500,10578653198
"Jan 13, 2014",860.19,861.29,806.05,841.2,45580900,10312375950
"Jan 14, 2014",843.17,855.69,825.66,833.27,20829800,10218535832
"Jan 15, 2014",833.12,872.81,830.86,860.9,28107200,10561305975
"Jan 16, 2014",860.29,866.16,835.63,835.63,19149300,10255185612
"Jan 17, 2014",834.49,842.91,797.63,814.64,39031700,10000663202
"Jan 18, 2014",816.07,841.49,816.07,840,18052700,10315662000
"Jan 19, 2014",839.66,870.96,825.53,870.96,24365700,10699504086
"Jan 20, 2014",871.39,886.39,853.87,870.2,27652700,10694453430
"Jan 21, 2014",869.65,881.2,855.93,863.91,18997300,10620283205
"Jan 22, 2014",867.21,870.15,837.36,845.59,18453700,10399573174
"Jan 23, 2014",845.46,851.57,819.32,822.04,15607100,10113558120
"Jan 24, 2014",822.43,822.43,783.58,797.07,34912000,9810138293
"Jan 25, 2014",796.24,861.45,792.96,853.61,24303900,10509539619
"Jan 26, 2014",853.68,897.02,844.86,885.28,32224300,10902798632
"Jan 27, 2014",884.6,893,757.11,771.39,49233600,9503544085
"Jan 28, 2014",774.02,832.5,766.98,812.51,44875500,10013251364
"Jan 29, 2014",809.96,836.87,809.85,826,17984400,10182659550
"Jan 30, 2014",826.02,830.5,799.06,819.03,29918200,10100339387
"Jan 31, 2014",818.43,831.87,812.6,829.92,17107900,10238411820
"Feb 01, 2014",828.61,853.52,827.11,832.58,19668700,10275202812
"Feb 02, 2014",832.9,844.72,820.67,825.37,11300900,10190038654
"Feb 03, 2014",824.08,826.48,807.22,823.83,13940100,10174774202
"Feb 04, 2014",823.77,840.17,820.94,827.96,16609700,10229342305
"Feb 05, 2014",829.96,837.32,811.91,811.91,22395100,10034436286
"Feb 06, 2014",815.59,819.81,770.59,781.55,50108700,9662791119
"Feb 07, 2014",783.2,783.2,654.35,712.4,113643000,8810607000
"Feb 08, 2014",699.57,721.82,661.87,673.92,38742600,8337738240
"Feb 09, 2014",671.46,712.27,655.25,682.9,39311400,8451228950
"Feb 10, 2014",681.32,703.71,550.5,681.03,112758000,8430742782
"Feb 11, 2014",683.5,712.46,636.66,672.17,72745200,8323817195
"Feb 12, 2014",672.38,672.9,643.04,651.72,25367600,8073458481
"Feb 13, 2014",651.08,657.99,601.91,605.24,38588100,7500376176
"Feb 14, 2014",601.17,691.72,541.04,661.99,102506000,8206805878
"Feb 15, 2014",660.9,661.84,632.84,650.92,26709200,8072579656
"Feb 16, 2014",651.3,665.1,584.17,616.63,40061700,7650358837
"Feb 17, 2014",614.23,656.95,607.31,626.27,31948400,7772386462
"Feb 18, 2014",627.16,645.76,612.54,626.6,20015100,7779035355
"Feb 19, 2014",625.97,631.77,618.7,623.03,13897800,7737830115
"Feb 20, 2014",623.09,627.73,556.14,556.14,46905000,6909538974
"Feb 21, 2014",556.88,582.96,530.47,574.16,47308100,7135603064
"Feb 22, 2014",574.24,614.48,558.58,605.42,31254000,7526808473
"Feb 23, 2014",606.47,639.91,599.7,605.82,31434400,7534325867
"Feb 24, 2014",606.04,607.61,538.7,546.32,57893900,6796971990
"Feb 25, 2014",540.24,541.38,420.41,538.71,126314000,6704461434
"Feb 26, 2014",537.04,603.8,532.58,582.69,64642700,7254505067
"Feb 27, 2014",581.65,594.05,566.62,578.77,25540800,7208406719
"Feb 28, 2014",579.7,584.14,545.17,549.26,28076100,6843353924
"Mar 01, 2014",549.92,573.38,539.29,565.61,18668100,7049084308
"Mar 02, 2014",567.23,570.48,553.27,559.79,7950760,6978524072
"Mar 03, 2014",562.56,702.91,560.52,667.76,96056896,8326933812
"Mar 04, 2014",668.24,696.22,655.68,666.78,55344600,8317230356
"Mar 05, 2014",666.24,674.28,646.28,665.51,22461900,8304000852
"Mar 06, 2014",664.52,669.77,649.79,663.86,16068100,8286267327
"Mar 07, 2014",664.31,665.34,616.35,629.15,34150800,7855629815
"Mar 08, 2014",629.66,635.14,604.46,617.45,18654200,7712151171
"Mar 09, 2014",616.31,643.95,612.35,636.96,15396500,7958687808
"Mar 10, 2014",636.33,644.76,615.02,627.79,20639800,7846433315
"Mar 11, 2014",627.95,638.42,618.84,634.11,11732500,7928102950
"Mar 12, 2014",631.91,648.03,629.51,632.1,18621200,7905832725
"Mar 13, 2014",633.62,644.2,630.85,638.14,11634900,7983960982
"Mar 14, 2014",638.14,639.53,627.21,628.8,11913800,7869180480
"Mar 15, 2014",629.37,639.14,627.3,636.12,4342080,7963443153
"Mar 16, 2014",636.5,637.52,628.11,631.11,5277290,7903422086
"Mar 17, 2014",630.92,632.68,616.85,622.37,14648200,7796513249
"Mar 18, 2014",621.84,622.39,603.8,614.83,24011500,7704183118
"Mar 19, 2014",613.9,622,609.1,609.89,14228900,7644702125
"Mar 20, 2014",609.74,609.74,587.49,588.77,20572900,7382675346
"Mar 21, 2014",588.29,604.59,561.81,571.49,38414100,7168656262
"Mar 22, 2014",571.18,572.55,554.39,565.04,17360700,7090150172
"Mar 23, 2014",565.76,570.24,560.88,561.27,9288400,7045871925
"Mar 24, 2014",562.51,586.56,551.77,583.41,22706900,7326517067
"Mar 25, 2014",585.03,585.44,572.6,583.92,14020100,7335179952
"Mar 26, 2014",583.48,590.03,570.96,580.83,16401100,7298672082
"Mar 27, 2014",580.26,580.56,471.24,471.24,62225400,5923615602
"Mar 28, 2014",477.14,526.02,473.23,495.67,58828300,6232801684
"Mar 29, 2014",501.71,504.86,489.73,491.17,11147100,6178428029
"Mar 30, 2014",492.37,492.37,444.18,460.27,42958300,5791419543
"Mar 31, 2014",462.3,483.02,443.36,457,28254000,5752294437
"Apr 01, 2014",457,495.34,457,478.38,35685800,6023351178
"Apr 02, 2014",479.14,495.05,431.27,437.14,49647600,5506313797
"Apr 03, 2014",436.44,449.57,414.89,444.72,40765500,5604036051
"Apr 04, 2014",445.66,454.65,429.09,447.53,22925500,5641613449
"Apr 05, 2014",446.67,463.57,444.2,461.91,13404500,5824866676
"Apr 06, 2014",463.4,466.32,452.97,460.5,10241400,5808861023
"Apr 07, 2014",461.47,462.56,445.12,449.42,15616600,5670830650
"Apr 08, 2014",447.61,457.42,446.11,453.09,10921600,5718579640
"Apr 09, 2014",453.18,455.73,441.93,442.73,13204400,5589580215
"Apr 10, 2014",442.26,443.37,358.73,365.18,55868300,4611917257
"Apr 11, 2014",363.71,429.77,351.27,420.95,62562800,5318033925
"Apr 12, 2014",420.89,439.61,415.79,421.12,19226500,5321874506
"Apr 13, 2014",421.46,427.4,395.25,414.06,22493500,5234667259
"Apr 14, 2014",414.83,469.75,407.37,458.79,50730200,5802302128
"Apr 15, 2014",458.37,519,453.54,515.59,49561000,6522974948
"Apr 16, 2014",522.18,542.38,502.78,527.4,56480100,6674473792
"Apr 17, 2014",529.07,533.52,484.87,495.96,34025500,6278792387
"Apr 18, 2014",495.8,498.6,472.74,479.64,19042400,6074116360
"Apr 19, 2014",479.58,503.55,470.56,501.57,19588200,6353700029
"Apr 20, 2014",501.75,510.87,490.84,498.17,12103100,6312896984
"Apr 21, 2014",497.74,510.57,493.2,495.77,15171400,6284666435
"Apr 22, 2014",495.45,503.22,487.58,487.92,11670900,6187034895
"Apr 23, 2014",488.36,493.25,485.82,491.3,9814530,6231920621
"Apr 24, 2014",490.83,500.46,482.95,500.46,13009400,6350012525
"Apr 25, 2014",500.09,500.3,442.95,461.45,46856500,5857079867
"Apr 26, 2014",461.7,464.54,449.1,458.6,12214600,5822776642
"Apr 27, 2014",457.24,459.33,436.39,436.39,10949500,5542720307
"Apr 28, 2014",430.72,447.53,422.94,440.29,23876600,5593864954
"Apr 29, 2014",439.98,451.64,435.18,447.21,16401400,5683724524
"Apr 30, 2014",446.89,451.1,436.7,447.64,15244900,5690810165
"May 01, 2014",447.63,460.61,447.63,457.76,12871800,5821425472
"May 02, 2014",457.36,457.93,443.4,449.38,10394200,5716625927
"May 03, 2014",449.4,449.4,430.68,437.76,9849640,5570422954
"May 04, 2014",438.52,439.77,430.05,436.4,5621260,5554777406
"May 05, 2014",434.78,440.97,427.62,433.48,10004800,5518951942
"May 06, 2014",433.36,448.04,423.25,428.96,12507300,5463474513
"May 07, 2014",429.34,446.13,428.45,438.82,18332200,5590798951
"May 08, 2014",438.68,448.4,438.14,440.17,9446580,5609810850
"May 09, 2014",440.18,452.69,440.14,449.46,10347900,5730133343
"May 10, 2014",450.46,455.77,448.47,454.43,6682600,5795543101
"May 11, 2014",453.92,455.34,433.4,438.89,12251700,5598956479
"May 12, 2014",438.3,442.26,434.23,441.46,7383770,5633629021
"May 13, 2014",441.53,441.98,436.97,440.67,7682670,5625308533
"May 14, 2014",440.59,446.66,440.5,443.97,9472960,5669111766
"May 15, 2014",444.14,449.8,443.63,447.25,7362980,5712906334
"May 16, 2014",447.39,450.66,444.96,448.06,6475100,5725217915
"May 17, 2014",448.12,451.98,447.3,448.9,2945790,5737967927
"May 18, 2014",448.7,449.77,444.78,446.26,2857830,5706165793
"May 19, 2014",446.08,447.55,443.1,446.18,6242620,5706978471
"May 20, 2014",446.3,491.44,446.01,485.72,40327500,6214911439
"May 21, 2014",485.8,494.37,483.49,491.77,14626000,6294422409
"May 22, 2014",492.05,525.36,490.19,524.58,33086500,6716604600
"May 23, 2014",525.72,541.96,520.08,520.22,34934700,6662964359
"May 24, 2014",521.05,525.17,516.28,525.14,11499300,6727963028
"May 25, 2014",525.23,576.48,525.23,571.59,47010300,7325371780
"May 26, 2014",571.39,588.39,565.33,583.42,29959800,7479335238
"May 27, 2014",582.59,589.52,554.43,571.24,38032000,7325147499
"May 28, 2014",571.91,578.62,564.09,577.06,19289000,7402205099
"May 29, 2014",576.33,577.1,561.6,568.18,18707800,7290260762
"May 30, 2014",568.18,618.46,568.16,615.33,31985400,7897757908
"May 31, 2014",615.69,624.72,604.47,623.68,15107100,8007248676
"Jun 01, 2014",623.69,671.51,619.91,630.23,45259100,8094125581
"Jun 02, 2014",629.65,665.5,618.74,660.62,45450200,8487587033
"Jun 03, 2014",660.55,674.11,650.78,667.6,40653700,8580309812
"Jun 04, 2014",666.77,668.56,624.09,641.61,37731500,8249183077
"Jun 05, 2014",641.07,663.53,640.09,659.26,29621300,8478552324
"Jun 06, 2014",659.28,661.37,652.3,653.7,18680100,8409353268
"Jun 07, 2014",653.52,656.94,644.91,654.97,15855300,8428206589
"Jun 08, 2014",654.99,658.88,653.47,656.14,8614190,8445489607
"Jun 09, 2014",655.64,657.7,644.39,649.16,19065400,8358149331
